qn1k,qn1a,numppl,qn1b,qn1c,qn1d,qn1f,qn1g,qn1h,qn1i,qn1jyear,qn1l,qn2a,qn2b,qn3a,qn3b,qn4a,qn4b,qn4c,qn4e,qn4j,qn20,qn24a,qn24b,qn25a,qn25b,qn25c,qn25d,qn28a,qn28b,cohort,ui_agect_arrival,ui_school,ui_emprate
1,3,5,2,7,11,1,20,3,20,2011,2, , , , , , , , , , , , , , , , , , ,1,1, , 
1,4,5,4,7,9,1,20,3,20,2011,2, , , , , , , , , , , , , , , , , , ,1,1, , 
1,5,5,4,7,7,1,20,3,20,2011,2, , , , , , , , , , , , , , , , , , ,1,1, , 
1,2,4,2,1,29,2,2,24,38,2011, ,14,6,8,4,2,2,2,1, ,98,1, ,1, , , ,1,1,1,2,0,1
1,1,2,1,1,32,1,3,3,20,2014, ,12,6,5,3,2,2,2,1, ,2,1, ,1, , , ,1,1,3,3,0,1
1,2,2,2,1,21,2,3,3,20,2015,2,98,3,6,13,4,3,1,1, ,1,1, ,1, , , ,1,1,3,2,0,3
1,1,4,1,1,26,1,2,96,40,2015, ,11,5,4,11,3,3,1,1, ,1,1, ,1, , , ,1,1,3,2,0,1
1,2,4,5,5,69,1,2,96,38,2015,2,0,1,8,7,4,4,1,1, , ,1, ,1, , , ,2,2,3,5,0,3
1,3,4,2,1,20,2,14,96,40,2015,2,8,2,1, ,3,3,1,1, ,98,1, ,1, , , ,2,2,3,2,0,3
1,4,4,4,4,2,2,14,96,40,2015,2, , , , , , , , , , , , , , , , , , ,3,0, , 
1,1,4,1,1,36,1,2,96,38,2012, ,12,5,4,7,8,2,1,1, ,1,2,1,1, , , ,2,2,1,3,0,1
1,2,4,2,1,30,2,2,96,38,2012,2,12,5,1, ,2,2,1,1, ,1,1, ,1, , , ,1,1,1,3,0,2
1,3,4,4,4,6,1,14,96,38,2012,2, , , , , , , , , , , , , , , , , , ,1,1, , 
1,4,4,4,4,1,2,24,96,97, ,2, , , , , , , , , , , , , , , , , , ,1,1, , 
1,1,1,1,4,35,1,3,99,97,2011, ,10,5,1, ,3,3,1,2,2,1,1, ,1, , , ,1,1,1,3,0,1
1,1,4,1,1,44,1,3,24,20,2012, ,8,5,4,8,4,3,1,1, ,1,1, ,1, , , ,1,1,1,3,0,1
1,2,4,2,1,44,2,3,24,97,2012,2,8,5,1, ,4,4,1,1, ,1,1, ,1, , , ,1,1,1,3,0,3
1,3,4,4,8,11,2,3,24,20,2012,2, , , , , , , , , , , , , , , , , , ,1,1, , 
1,4,4,4,8,7,2,97,24,20,2012,2, , , , , , , , , , , , , , , , , , ,1,1, , 
1,1,5,1,1,27,1,2,96,40,2015, ,12,5,4,10,2,1,1,1, ,2,1, ,1, , , ,1,1,3,3,0,1
